,Family,Protein_Name,Protein_ID,Localization,Topology,TM_Segment_Helix,Hydrophobic_Thickness_or_Depth,Tilt_Angle,deltaGfold,kcal_mol
610,T-cell surface glycoprotein CD family,T-cell surface glycoprotein CD1a,CD1A_HUMAN,Plasma memb.,Out,301- 322 ( 299- 324),33.4,10,-20.8,-30.8
611,T-cell surface glycoprotein CD family,T-cell surface glycoprotein CD1b,CD1B_HUMAN,Plasma memb.,Out,302- 323 ( 299- 326),33.2,9,-18.2,-28.3
612,T-cell surface glycoprotein CD family,T-cell surface glycoprotein CD1c,CD1C_HUMAN,Plasma memb.,Out,302- 323 ( 301- 326),34.4,16,-23.5,-33.1
613,T-cell surface glycoprotein CD family,"T-cell surface glycoprotein CD1e, membra...",CD1E_HUMAN,Plasma memb.,Out,302- 324 ( 301- 330),33.5,12,-18.4,-28.4
614,MIC family,MHC class I polypeptide-related sequence...,MICA_HUMAN,Plasma memb.,Out,308- 327 ( 306- 333),32.4,7,-16.4,-24.6
615,MIC family,MHC class I polypeptide-related sequence...,MICB_HUMAN,Plasma memb.,Out,313- 333 ( 311- 338),32.3,2,-5.0,-18.6
617,OX-2 membrane glycoprotein,OX-2 membrane glycoprotein,OX2G_HUMAN,Plasma memb.,Out,238- 259 ( 237- 262),34.2,16,-24.7,-28.2
618,T-lymphocyte activation antigen CD80,T-lymphocyte activation antigen CD80,CD80_HUMAN,Plasma memb.,Out,245- 266 ( 243- 268),33.1,15,-5.0,-19.2
619,CD83 antigen,CD83 antigen,CD83_HUMAN,Plasma memb.,Out,143- 165 ( 130- 169),34.3,20,-18.6,-26.6
621,IGH family,Immunoglobulin heavy constant mu,IGHM_HUMAN,Plasma memb.,Out,444- 469 ( 443- 472),32.2,31,-15.1,-29.4
622,Prostaglandin F2 receptor negative regul...,Prostaglandin F2 receptor negative regul...,FPRP_HUMAN,ER memb.,Out,833- 852 ( 832- 855),30.7,2,-3.9,-14.7
623,Natural cytotoxicity triggering receptor...,Natural cytotoxicity triggering receptor...,NR3L1_HUMAN,Plasma memb.,Out,266- 286 ( 265- 292),32.9,19,-11.4,-25.8
626,ULBP family,UL-16 binding protein 5,ULBP5_HUMAN,Plasma memb.,Out,223- 244 ( 220- 247),33.3,1,-12.8,-21.4
628,Tapasin family,Tapasin-related protein,TPSNR_HUMAN,ER memb.,Out,407- 425 ( 402- 430),30.9,2,-14.5,-24.1
629,Secreted and transmembrane protein 1,Secreted and transmembrane protein 1,SCTM1_HUMAN,Plasma memb.,Out,150- 168 ( 149- 178),33.1,11,-18.8,-29.0
631,V-set and transmembrane domain-containin...,V-set and transmembrane domain-containin...,VTM2B_HUMAN,Plasma memb.,Out,264-282 (264-283),22.0,38,-12.4,-13.8
633,V-set and transmembrane domain-containin...,V-set and transmembrane domain-containin...,VSTM5_HUMAN,Plasma memb.,Out,147- 169 ( 144- 172),33.5,20,-19.7,-27.3
637,Neuropilin and tolloid-like protein,Neuropilin and tolloid-like protein 2,NETO2_HUMAN,Plasma memb.,Out,341- 369 ( 339- 371),34.3,30,-14.8,-24.1
638,Lck-interacting transmembrane adapter,Lck-interacting transmembrane adapter 1,LIME1_HUMAN,Plasma memb.,Out,10- 30 ( 9- 32),32.2,6,-9.7,-18.9
639,Leukocite specific transcript 1,Leukocyte-specific transcript 1 protein,LST1_HUMAN,Golgi memb.,Out,19- 39 ( 17- 44),31.2,8,-11.7,-22.0
640,Protein jagged,Protein jagged-1,JAG1_HUMAN,Plasma memb.,Out,1070-1092 (1069-1098),34.5,24,-13.4,-24.7
641,Protein jagged,Protein jagged-2,JAG2_HUMAN,Plasma memb.,Out,1086-1105 (1085-1116),33.3,2,-12.6,-21.8
642,Protein delta homolog,Protein delta homolog 1,DLK1_HUMAN,Plasma memb.,Out,304- 326 ( 301- 329),34.3,11,-10.4,-22.7
644,Delta-like protein,Delta-like protein 1,DLL1_HUMAN,Plasma memb.,Out,546- 571 ( 544- 576),34.3,26,-19.5,-28.1
645,Delta-like protein,Delta-like protein 3,DLL3_HUMAN,Plasma memb.,Out,495- 514 ( 494- 518),33.5,1,-11.6,-20.4
646,Delta-like protein,Delta-like protein 4,DLL4_HUMAN,Plasma memb.,Out,528- 554 ( 526- 558),34.4,30,-18.2,-30.9
647,Ephrin,Ephrin-B1,EFNB1_HUMAN,Plasma memb.,Out,240- 264 ( 234- 269),34.4,25,-21.3,-30.4
648,Ephrin,Ephrin-B2,EFNB2_HUMAN,Plasma memb.,Out,229- 251 ( 224- 256),34.4,9,-21.3,-28.6
649,Ephrin,Ephrin-B3,EFNB3_HUMAN,Plasma memb.,Out,230- 251 ( 226- 256),33.4,16,-5.3,-15.2
650,Semaphorin,Semaphorin-4A,SEM4A_HUMAN,Plasma memb.,Out,682- 703 ( 681- 704),33.3,15,-17.6,-29.1
651,Semaphorin,Semaphorin-4B,SEM4B_HUMAN,Plasma memb.,Out,711- 732 ( 707- 735),33.4,12,-21.7,-33.2
652,Semaphorin,Semaphorin-4C,SEM4C_HUMAN,Plasma memb.,Out,663- 685 ( 661- 700),34.5,20,-20.5,-28.4
654,Semaphorin,Semaphorin-4F,SEM4F_HUMAN,Plasma memb.,Out,664- 682 ( 663- 689),31.4,8,-12.3,-20.4
655,Semaphorin,Semaphorin-4G,SEM4G_HUMAN,Plasma memb.,Out,674- 699 ( 671- 706),34.4,30,-12.9,-22.6
656,Semaphorin,Semaphorin-5A,SEM5A_HUMAN,Plasma memb.,Out,969- 991 ( 965- 995),34.5,16,-9.0,-20.3
657,Semaphorin,Semaphorin-5B,SEM5B_HUMAN,Plasma memb.,Out,1033-1056 (1031-1060),34.5,10,-5.2,-19.2
658,Semaphorin,Semaphorin-6A,SEM6A_HUMAN,Plasma memb.,Out,646- 668 ( 645- 670),33.3,18,-15.7,-28.4
659,Semaphorin,Semaphorin-6B,SEM6B_HUMAN,Plasma memb.,Out,598- 623 ( 592- 634),34.4,26,-1.7,-19.2
660,Semaphorin,Semaphorin-6C,SEM6C_HUMAN,Plasma memb.,Out,603- 618 ( 602- 621),30.4,5,-8.0,-16.8
662,Semaphorin,Semaphorin-7A,SEM7A_HUMAN,Plasma memb.,Out,645- 664 ( 642- 665),32.1,11,-6.0,-17.8
663,Neuroligin,Neuroligin-1,NLGN1_HUMAN,Plasma memb.,Out,694- 715 ( 690- 721),34.4,5,-16.3,-23.4
664,Neuroligin,Neuroligin-2,NLGN2_HUMAN,Plasma memb.,Out,677- 699 ( 674- 703),34.3,11,-14.6,-23.4
665,Neuroligin,Neuroligin-3,NLGN3_HUMAN,Plasma memb.,Out,709- 730 ( 705- 736),34.4,10,-14.9,-23.4
666,Neuroligin,"Neuroligin-4, X-linked",NLGNX_HUMAN,Plasma memb.,Out,675- 697 ( 672- 704),34.4,11,-16.1,-23.3
669,Ellis-van Creveld syndrome protein,Ellis-van Creveld syndrome protein,EVC_HUMAN,Plasma memb.,Out,25- 45 ( 24- 53),33.5,16,-7.4,-20.9
670,Protein phosphatase 1 regulatory subunit...,Protein ELFN1,ELFN1_HUMAN,Plasma memb.,Out,416- 439 ( 413- 454),34.3,15,-19.1,-28.3
671,Protein phosphatase 1 regulatory subunit...,Protein phosphatase 1 regulatory subunit...,PPR29_HUMAN,Plasma memb.,Out,395- 418 ( 390- 430),34.3,19,-16.5,-26.6
672,Protein phosphatase 1 regulatory subunit...,Protein phosphatase 1 regulatory subunit...,PPR3A_HUMAN,Plasma memb.,In,1078-1094 (1077-1095),29.9,10,-12.1,-12.3
673,Protein phosphatase 1 regulatory subunit...,Protein phosphatase 1 regulatory subunit...,PPR3F_HUMAN,Plasma memb.,In,764- 793 ( 762- 796),34.3,42,-6.7,-22.1
674,Phosphoprotein associated with glycosphi...,Phosphoprotein associated with glycosphi...,PHAG1_HUMAN,Plasma memb.,Out,16- 37 ( 12- 43),34.4,1,-16.5,-30.6
679,Tumor Necrosis Factor,Lymphotoxin-beta,TNFC_HUMAN,Plasma memb.,In,21- 45 ( 19- 46),34.5,25,-12.7,-24.9
680,Tumor Necrosis Factor,Tumor necrosis factor,TNFA_HUMAN,Plasma memb.,In,32- 53 ( 27- 54),33.1,14,-11.7,-26.2
681,Tumor Necrosis Factor,Tumor necrosis factor ligand superfamily...,TNF14_HUMAN,Plasma memb.,In,36- 58 ( 34- 64),34.1,14,-11.7,-23.4
682,Tumor Necrosis Factor,Tumor necrosis factor ligand superfamily...,TNF15_HUMAN,Plasma memb.,In,36- 58 ( 31- 61),34.5,8,-10.3,-22.5
683,Tumor Necrosis Factor,Tumor necrosis factor ligand superfamily...,TNFL6_HUMAN,Plasma memb.,In,80- 101 ( 77- 104),35.4,6,-16.8,-29.5
684,Tumor Necrosis Factor,Tumor necrosis factor ligand superfamily...,TNFL9_HUMAN,Plasma memb.,In,27- 48 ( 26- 50),34.2,9,-18.9,-28.1
688,Tumour necrosis factor ligand 10/11,Tumor necrosis factor ligand superfamily...,TNF10_HUMAN,Plasma memb.,In,13- 37 ( 10- 38),33.4,26,-11.3,-22.5
689,Tumour necrosis factor ligand 10/11,Tumor necrosis factor ligand superfamily...,TNF11_HUMAN,Plasma memb.,In,48- 69 ( 42- 73),34.2,10,-9.5,-21.3
691,Ectodysplasin-like necrosis factors,Tumor necrosis factor ligand superfamily...,TNF12_HUMAN,Plasma memb.,In,23- 43 ( 22- 48),34.4,8,-13.1,-23.6
692,Ectodysplasin-like necrosis factors,Tumor necrosis factor ligand superfamily...,TN13B_HUMAN,Plasma memb.,In,47- 68 ( 43- 70),32.4,15,-12.7,-21.9
693,Tumor necrosis factor 18,Tumor necrosis factor ligand superfamily...,TNF18_HUMAN,Plasma memb.,In,47- 72 ( 44- 78),34.3,25,-21.3,-31.5
694,Tumor necrosis factor 4,Tumor necrosis factor ligand superfamily...,TNFL4_HUMAN,Plasma memb.,In,25- 49 ( 22- 54),33.4,27,-7.7,-20.9
696,Nodal modulator family,Nodal modulator 1,NOMO1_HUMAN,ER memb.,Out,1158-1175 (1155-1178),28.8,6,-4.7,-16.1
699,MRVI1 family,"Inositol 1,4,5-triphosphate receptor ass...",IRAG1_HUMAN,ER memb.,In,826- 845 ( 824- 848),30.1,2,-18.3,-27.1
700,MRVI1 family,"Inositol 1,4,5-triphosphate receptor ass...",IRAG2_HUMAN,ER memb.,In,496- 514 ( 492- 518),30.1,6,-14.3,-24.6
701,Adenomatosis polyposis coli down-regulat...,Protein APCDD1,APCD1_HUMAN,Plasma memb.,Out,491- 511 ( 489- 513),32.4,2,-8.7,-19.0
702,Adenomatosis polyposis coli down-regulat...,Protein APCDD1-like,APCDL_HUMAN,Membrane,Out,485- 499 ( 484- 500),29.9,6,-4.1,-21.2
703,Chondroitin sulfate proteoglycan 5,Chondroitin sulfate proteoglycan 5,CSPG5_HUMAN,ER memb.,Out,426- 445 ( 424- 448),29.9,10,-19.2,-27.5
704,Irisin,Fibronectin type III domain-containing p...,FNDC4_HUMAN,Plasma memb.,Out,168- 189 ( 164- 190),33.1,20,-15.4,-25.5
705,Irisin,Fibronectin type III domain-containing p...,FNDC5_HUMAN,Plasma memb.,Out,137- 158 ( 135- 159),33.2,21,-15.6,-26.7
706,LRRN4 C-terminal-like protein,LRRN4 C-terminal-like protein,LRN4L_HUMAN,Plasma memb.,Out,193- 218 ( 192- 221),34.5,30,-8.6,-20.1
707,Fibronectin type-III domain-containing t...,Fibronectin type III domain-containing p...,FND10_HUMAN,Plasma memb.,Out,181- 206 ( 179- 209),33.4,26,-11.9,-23.2
708,Fibronectin type III domain-containing p...,Fibronectin type III domain-containing p...,FNDC9_HUMAN,Plasma memb.,Out,111- 135 ( 109- 136),34.3,25,-17.8,-29.0
709,Macrophage colony stimulating factor-1,Macrophage colony-stimulating factor 1,CSF1_HUMAN,Plasma memb.,Out,494- 519 ( 491- 523),34.4,25,-16.0,-30.5
710,Bone morphogenic protein and activin inh...,BMP and activin membrane-bound inhibitor...,BAMBI_HUMAN,Plasma memb.,Out,149- 174 ( 147- 177),34.2,23,-20.8,-31.5
713,Tomoregulin,Tomoregulin-2,TEFF2_HUMAN,Plasma memb.,Out,318- 341 ( 314- 344),34.0,20,-10.2,-20.7
714,Epidermal growth factor receptor ligand,Amphiregulin,AREG_HUMAN,Plasma memb.,Out,197- 222 ( 193- 226),34.3,25,-18.2,-26.6
715,Epidermal growth factor receptor ligand,Epigen,EPGN_HUMAN,Plasma memb.,Out,111- 132 ( 107- 136),32.5,11,-13.3,-21.9
716,Epidermal growth factor receptor ligand,Probetacellulin,BTC_HUMAN,Plasma memb.,Out,118- 139 ( 115- 141),34.3,6,-17.9,-27.8
717,Epidermal growth factor receptor ligand,Proepiregulin,EREG_HUMAN,Plasma memb.,Out,117- 139 ( 115- 141),33.3,14,-19.4,-28.9
718,Epidermal growth factor receptor ligand,Proheparin-binding EGF-like growth facto...,HBEGF_HUMAN,Plasma memb.,Out,161- 183 ( 157- 188),34.5,24,-17.3,-28.4
719,Epidermal growth factor receptor ligand,Protransforming growth factor alpha,TGFA_HUMAN,Plasma memb.,Out,98- 120 ( 89- 127),33.2,20,-15.5,-25.9
721,Pro-epidermal growth factor,Pro-epidermal growth factor,EGF_HUMAN,Plasma memb.,Out,1033-1056 (1028-1064),34.5,20,-20.1,-29.7
722,Cortexin family,Cortexin-1,CTXN1_HUMAN,Plasma memb.,Out,27- 52 ( 25- 53),33.5,23,-20.5,-29.1
724,Cortexin family,Cortexin-3,CTXN3_HUMAN,Membrane,Und,26- 51 ( 20- 52),30.9,29,-23.2,-34.2
725,Intercrine delta family,Fractalkine,X3CL1_HUMAN,Plasma memb.,Out,342- 362 ( 341- 366),32.4,1,-14.0,-24.5
731,Ectropic viral integration site 2A prote...,Protein EVI2A,EVI2A_HUMAN,Plasma memb.,Out,130- 155 ( 128- 163),35.4,26,-25.1,-35.1
734,TYRO protein tyrosine kinase-binding pro...,TYRO protein tyrosine kinase-binding pro...,TYOBP_HUMAN,Plasma memb.,Out,42- 63 ( 40- 67),33.9,3,-10.3,-19.6
735,Protein GAPT,Protein GAPT,GAPT_HUMAN,Plasma memb.,Out,10- 32 ( 8- 40),34.4,16,-10.8,-22.2
737,Nogo receptor-interacting proteins,Leucine-rich repeat and immunoglobulin-l...,LIGO2_HUMAN,Plasma memb.,Out,539- 565 ( 537- 571),33.3,35,-15.4,-31.9
738,Nogo receptor-interacting proteins,Leucine-rich repeat and immunoglobulin-l...,LIGO3_HUMAN,Plasma memb.,Out,525- 551 ( 521- 556),34.5,34,-15.7,-31.8
739,Nogo receptor-interacting proteins,Leucine-rich repeat and immunoglobulin-l...,LIGO4_HUMAN,Plasma memb.,Out,533- 556 ( 532- 561),34.4,21,-9.5,-25.4
740,Sushi domain-containing protein 2,Sushi domain-containing protein 2,SUSD2_HUMAN,Plasma memb.,Out,785- 807 ( 782- 812),33.4,20,-19.7,-27.8
741,Mucin-4,Mucin-4,MUC4_HUMAN,Plasma memb.,Out,2124-2149 (2123-2150),33.3,31,-10.3,-27.5
743,Trophoblast glycoprotein,Trophoblast glycoprotein-like,TPBGL_HUMAN,Plasma memb.,Out,307- 327 ( 303- 331),33.0,4,-21.2,-29.8
745,Reprimo family,Protein reprimo,RPRM_HUMAN,Membrane,Out,53- 79 ( 46- 84),31.0,34,-12.2,-25.6
746,Reprimo family,Reprimo-like protein,RPRML_HUMAN,Membrane,Und,64- 87 ( 62- 90),30.6,30,-9.8,-24.1
747,Cell cycle progression protein family,Cell cycle progression protein 1,CCPG1_HUMAN,Plasma memb.,Out,215- 237 ( 213- 243),33.3,9,-7.7,-19.4
749,Regulator of microtubule dynamics protei...,Regulator of microtubule dynamics protei...,RMD2_HUMAN,Mito. outer memb.,Out,15- 33 ( 12- 36),29.5,10,-17.6,-22.4
751,TMEM131 family,Transmembrane protein 131-like,T131L_HUMAN,Plasma memb.,Out,867- 897 ( 865- 905),34.4,40,-17.7,-31.3
752,Leucine-rich repeat C37 family,Leucine-rich repeat-containing protein 3...,L37A1_HUMAN,Plasma memb.,Out,1582-1606 (1578-1609),34.4,24,-22.7,-29.7
753,Leucine-rich repeat C37 family,Leucine-rich repeat-containing protein 3...,L37A2_HUMAN,Plasma memb.,Out,1582-1606 (1578-1609),34.4,24,-22.7,-29.7
754,Leucine-rich repeat C37 family,Leucine-rich repeat-containing protein 3...,L37A3_HUMAN,Plasma memb.,Out,1579-1603 (1576-1609),34.5,20,-19.5,-26.6
756,TMEM9 family,Proton-transporting V-type ATPase comple...,TMEM9_HUMAN,Lysosome memb.,Out,85- 110 ( 81- 111),31.2,34,-16.6,-24.6
757,TMEM9 family,Transmembrane protein 9B,TMM9B_HUMAN,Lysosome memb.,Out,101- 122 ( 95- 123),31.1,24,-16.9,-25.0
759,"Protein-tyrosine phosphatase, non-recept...",Tyrosine-protein phosphatase non-recepto...,PTN2_HUMAN,ER memb.,In,390- 409 ( 385- 413),31.0,10,-9.7,-23.7
760,Non-receptor CDC14 family,Dual specificity protein phosphatase CDC...,CC14C_HUMAN,Nucleus memb.,In,527- 546 ( 526- 547),30.2,17,-7.8,-20.9
761,Melanocortin receptor accessory protein,Melanocortin-2 receptor accessory protei...,MRAP_HUMAN,Plasma memb.,In,38- 61 ( 25- 62),33.5,31,-22.5,-31.3
762,Melanocortin receptor accessory protein,Melanocortin-2 receptor accessory protei...,MRAP2_HUMAN,Plasma memb.,In,51- 69 ( 50- 70),32.1,4,-21.2,-32.4
763,Dynactin-associated protein,Dynactin-associated protein,DYNAP_HUMAN,Golgi memb.,In,112- 134 ( 108- 138),31.1,19,-17.6,-24.1
764,Golgi-associated olfactory signaling reg...,Golgi-associated olfactory signaling reg...,GFY_HUMAN,Golgi memb.,Out,411- 430 ( 408- 437),31.2,16,-18.4,-28.7
765,Linker-for-activation of T cells (LAT),Linker for activation of T-cells family...,LAT_HUMAN,Plasma memb.,Out,9- 29 ( 8- 32),34.4,10,-15.6,-26.2
766,Linker-for-activation of T cells (LAT),Linker for activation of T-cells family...,NTAL_HUMAN,Plasma memb.,Out,10- 29 ( 7- 32),32.1,3,-6.7,-19.5
767,Lymphocyte transmembrane adapter 1,Lymphocyte transmembrane adapter 1,LAX1_HUMAN,Plasma memb.,Out,36- 60 ( 33- 66),33.4,25,-16.3,-29.6
768,PTPRC-associated protein,Protein tyrosine phosphatase receptor ty...,PTCA_HUMAN,Plasma memb.,Out,34- 56 ( 31- 58),33.3,9,-26.0,-31.5
769,Signaling threshold-regulating transmemb...,Signaling threshold-regulating transmemb...,SIT1_HUMAN,Plasma memb.,Out,41- 62 ( 37- 65),32.2,16,-15.6,-25.0
770,T-cell receptor-associated transmembrane...,T-cell receptor-associated transmembrane...,TRAT1_HUMAN,Plasma memb.,Out,10- 32 ( 8- 39),34.5,15,-16.1,-28.2
773,Regulator of G-protein signaling-like,Regulator of G-protein signaling protein...,RGSL_HUMAN,Plasma memb.,In,957- 978 ( 955- 979),32.3,9,-6.8,-19.7
774,Regulator of G-protein signaling binding...,Regulator of G-protein signaling 9-bindi...,R9BP_HUMAN,Plasma memb.,In,208- 233 ( 206- 234),34.5,24,-17.2,-24.5
775,TRAF3-interacting modulator,TRAF3-interacting JNK-activating modulat...,T3JAM_HUMAN,Plasma memb.,In,529- 546 ( 528- 548),32.3,2,-15.9,-20.5
777,Sialic acid binding Ig-like lectin famil...,B-cell receptor CD22,CD22_HUMAN,Plasma memb.,Out,686- 707 ( 681- 710),33.4,2,-8.4,-16.7
778,Sialic acid binding Ig-like lectin famil...,Myelin-associated glycoprotein,MAG_HUMAN,Plasma memb.,Out,511- 533 ( 509- 539),33.3,10,-14.1,-24.6
780,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 10,SIG10_HUMAN,Plasma memb.,Out,552- 573 ( 551- 574),33.5,9,-17.8,-25.8
781,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 11,SIG11_HUMAN,Plasma memb.,Out,550- 572 ( 549- 583),34.2,16,-8.7,-18.5
782,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 12,SIG12_HUMAN,Plasma memb.,Out,483- 504 ( 481- 510),31.9,9,-11.3,-22.5
783,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 14,SIG14_HUMAN,Plasma memb.,Out,357- 379 ( 354- 384),34.5,16,-8.4,-21.1
784,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 15,SIG15_HUMAN,Plasma memb.,Out,262- 284 ( 259- 289),34.2,11,-11.0,-19.0
786,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 5,SIGL5_HUMAN,Plasma memb.,Out,444- 463 ( 443- 467),32.0,4,-16.9,-23.1
788,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 7,SIGL7_HUMAN,Plasma memb.,Out,357- 378 ( 356- 384),33.2,14,-9.0,-21.2
789,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 8,SIGL8_HUMAN,Plasma memb.,Out,362- 384 ( 361- 392),33.2,20,-8.9,-19.9
790,Sialic acid binding Ig-like lectin famil...,Sialic acid-binding Ig-like lectin 9,SIGL9_HUMAN,Plasma memb.,Out,352- 371 ( 351- 377),32.3,5,-7.3,-19.7
791,Sialic acid binding Ig-like lectin famil...,Sialoadhesin,SN_HUMAN,Plasma memb.,Out,1642-1664 (1639-1669),33.5,20,-23.4,-31.5
792,Sialic acid binding Ig-like lectin famil...,SIGLEC family-like protein 1,SIGL1_HUMAN,Plasma memb.,Out,118- 139 ( 117- 148),33.5,4,-15.3,-24.7
794,Junctional adhesion molecule-like,Cell surface A33 antigen,GPA33_HUMAN,Plasma memb.,Out,234- 258 ( 231- 263),34.5,19,-14.5,-24.2
795,Junctional adhesion molecule-like,Coxsackievirus and adenovirus receptor,CXAR_HUMAN,Plasma memb.,Out,240- 261 ( 239- 268),34.5,16,-18.4,-24.9
798,Junctional adhesion molecule-like,HEPACAM family member 2,HECA2_HUMAN,Golgi memb.,Out,353- 372 ( 351- 375),31.2,11,-18.0,-25.0
803,Junctional adhesion molecule-like,Junctional adhesion molecule C,JAM3_HUMAN,Plasma memb.,Out,245- 266 ( 244- 269),34.5,4,-14.7,-23.7
805,Junctional adhesion molecule-like,V-set and immunoglobulin domain-containi...,VSIG1_HUMAN,Plasma memb.,Out,233- 256 ( 232- 266),33.5,25,-9.5,-20.0
806,Junctional adhesion molecule-like,V-set and immunoglobulin domain-containi...,VSIG2_HUMAN,Plasma memb.,Out,243- 265 ( 242- 272),34.5,25,-15.1,-25.5
807,Junctional adhesion molecule-like,V-set and immunoglobulin domain-containi...,VSIG8_HUMAN,Plasma memb.,Out,261- 282 ( 257- 283),33.5,23,-9.6,-19.1
808,Myelin P0 protein family,Myelin protein P0,MYP0_HUMAN,Plasma memb.,Out,156- 178 ( 155- 180),33.5,13,-18.5,-27.3
810,Myelin P0 protein family,Myelin protein zero-like protein 2,MPZL2_HUMAN,Plasma memb.,Out,151- 174 ( 148- 181),34.3,30,-21.2,-30.0
811,Myelin P0 protein family,Myelin protein zero-like protein 3,MPZL3_HUMAN,Plasma memb.,Out,155- 181 ( 152- 185),34.5,35,-15.3,-29.7
812,Myelin P0 protein family,Sodium channel subunit beta-2,SCN2B_HUMAN,Plasma memb.,Out,158- 182 ( 154- 189),34.3,25,-14.4,-23.9
814,L1/neurofascin/NgCAM family,Neural cell adhesion molecule L1,L1CAM_HUMAN,Plasma memb.,Out,1123-1143 (1120-1147),33.5,12,-23.3,-30.7
816,L1/neurofascin/NgCAM family,Neurofascin,NFASC_HUMAN,Plasma memb.,Out,1217-1238 (1213-1241),33.5,16,-23.1,-30.8
817,L1/neurofascin/NgCAM family,Neuronal cell adhesion molecule,NRCAM_HUMAN,Plasma memb.,Out,1169-1190 (1164-1193),33.5,11,-21.3,-30.2
818,Turtle family,Protein turtle homolog A,TUTLA_HUMAN,Plasma memb.,Out,737- 759 ( 736- 769),33.4,16,-7.2,-19.9
821,FRAS1 family,FRAS1-related extracellular matrix prote...,FREM2_HUMAN,Plasma memb.,Out,3115-3135 (3113-3138),33.5,2,-10.0,-21.0
822,Kin of IRRE-like protein,Kin of IRRE-like protein 1,KIRR1_HUMAN,Plasma memb.,Out,501- 522 ( 498- 525),33.5,10,-22.2,-31.4
823,Kin of IRRE-like protein,Kin of IRRE-like protein 2,KIRR2_HUMAN,Plasma memb.,Out,510- 533 ( 507- 541),34.4,20,-11.1,-21.1
824,Kin of IRRE-like protein,Kin of IRRE-like protein 3,KIRR3_HUMAN,Plasma memb.,Out,534- 557 ( 533- 564),34.2,21,-14.9,-24.7
828,Intercellular adhesion molecule family,Intercellular adhesion molecule 1,ICAM1_HUMAN,Plasma memb.,Out,480- 501 ( 479- 507),33.4,6,-14.0,-22.1
831,Intercellular adhesion molecule family,Intercellular adhesion molecule 4,ICAM4_HUMAN,Plasma memb.,Out,242- 264 ( 238- 269),33.4,15,-10.9,-19.9
832,Intercellular adhesion molecule family,Intercellular adhesion molecule 5,ICAM5_HUMAN,Plasma memb.,Out,836- 858 ( 834- 866),34.5,11,-2.0,-15.9
834,Nectin-like,Cell adhesion molecule 2,CADM2_HUMAN,Plasma memb.,Out,369- 391 ( 364- 395),34.4,20,-16.2,-25.3
835,Nectin-like,Cell adhesion molecule 3,CADM3_HUMAN,Plasma memb.,Out,330- 355 ( 326- 358),34.4,25,-25.5,-33.5
836,Nectin-like,Cell adhesion molecule 4,CADM4_HUMAN,Plasma memb.,Out,323- 345 ( 322- 352),33.4,30,-18.2,-28.6
837,Nectin-like,Cytotoxic and regulatory T-cell molecule,CRTAM_HUMAN,Plasma memb.,Out,282- 304 ( 280- 308),34.5,15,-21.6,-29.9
838,Nectin-like,Nectin-1,NECT1_HUMAN,Plasma memb.,Out,360- 379 ( 359- 382),32.2,1,-12.9,-20.7
839,Nectin-like,Nectin-2,NECT2_HUMAN,Plasma memb.,Out,362- 382 ( 361- 387),33.4,10,-9.6,-17.0
840,Nectin-like,Nectin-3,NECT3_HUMAN,Plasma memb.,Out,403- 426 ( 400- 432),34.2,26,-14.4,-24.0
843,Neural cell adhesion molecule,Neural cell adhesion molecule 1,NCAM1_HUMAN,Plasma memb.,Out,719- 745 ( 717- 748),34.3,25,-17.4,-28.7
845,Transmembrane and immunoglobulin domain-...,Transmembrane and immunoglobulin domain-...,TMIG1_HUMAN,Plasma memb.,Out,222- 243 ( 221- 245),33.4,15,-15.2,-24.0
846,Transmembrane and immunoglobulin domain-...,Transmembrane and immunoglobulin domain-...,TMIG2_HUMAN,Plasma memb.,Out,151- 172 ( 150- 176),33.4,10,-11.7,-24.7
847,Vascular cell adhesion protein,Vascular cell adhesion protein 1,VCAM1_HUMAN,Plasma memb.,Out,698- 719 ( 697- 722),33.3,5,-13.7,-24.3
848,Down syndrome cell adhesion protein,Down syndrome cell adhesion molecule,DSCAM_HUMAN,Plasma memb.,Out,1596-1617 (1590-1628),33.3,15,-21.7,-29.6
849,Down syndrome cell adhesion protein,Down syndrome cell adhesion molecule-lik...,DSCL1_HUMAN,Plasma memb.,Out,1589-1612 (1587-1627),34.0,19,-17.4,-27.7
850,V-set and immunoglobulin domain-containi...,V-set and immunoglobulin domain-containi...,VSI10_HUMAN,Plasma memb.,Out,415- 435 ( 414- 437),33.2,6,-14.6,-22.8
851,V-set and immunoglobulin domain-containi...,V-set and immunoglobulin domain-containi...,VSXL2_HUMAN,Plasma memb.,Out,706-726(705-729),31.0,15,-7.9,-17.9
852,Protein sidekick,Protein sidekick-1,SDK1_HUMAN,Plasma memb.,Out,2009-2031 (2006-2035),34.4,16,-24.0,-32.0
853,Protein sidekick,Protein sidekick-2,SDK2_HUMAN,Plasma memb.,Out,1929-1951 (1926-1956),34.3,10,-27.8,-35.5
